Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng,crime_percentage,restaurant_num,restaurant_star,trans_time_driv,trans_time_walk,trans_time_bike
15213,3221 Juliet St,"Oakland, Pittsburgh, PA",2100,6,3,,N,N,40.4323595,-79.9567679,0.026561,20,3.525,4.0,26.5,9.5
15213,356 Ophelia St,"Oakland, Pittsburgh, PA",1800,4,2,1308.0,N,N,40.433963399999996,-79.96104079999998,0.026561,12,3.125,7.0,28.0,9.0
15213,407 Semple St #6,"Oakland, Pittsburgh, PA",1200,2,1,1350.0,N,N,40.4369638,-79.9546584,0.026561,75,3.466666666666667,5.5,19.0,7.0
15213,3235 Parkview Ave,"Oakland, Pittsburgh, PA",650,1,1,200.0,N,N,40.4304461,-79.9533485,0.026561,8,3.5,4.5,23.0,8.5
15213,3232 Parkview Ave,"Oakland, Pittsburgh, PA",1750,4,2,1200.0,N,N,40.430310399999996,-79.9528998,0.026561,7,3.642857142857143,4.5,23.0,8.5
15213,4 Wellsford St,"Oakland, Pittsburgh, PA",3850,7,3,,N,N,40.434996999999996,-79.9552728,0.026561,46,3.6739130434782608,3.0,22.5,8.5
15213,3400 Juliet St,"Oakland, Pittsburgh, PA",1495,4,2,1744.0,N,N,40.434148,-79.95592649999998,0.026561,38,3.6052631578947367,3.5,24.0,9.0
15213,3223 Joe Hammer Sq,"Oakland, Pittsburgh, PA",2000,4,1,1675.0,N,N,40.435291600000006,-79.96183359999998,0.026561,25,3.32,9.0,27.5,9.0
15213,222 Morewood Ave #2,"Bloomfield, Pittsburgh, PA",1025,2,1,,Y,N,40.4555004,-79.94604269999998,0.026561,25,3.24,7.5,20.0,9.0
15213,414 McKee Pl #3,"Oakland, Pittsburgh, PA",1175,2,1,,Y,N,40.4360879,-79.9551551,0.026561,62,3.5725806451612905,4.0,21.0,8.0
15213,3235 Parkview Ave #102,"Oakland, Pittsburgh, PA",650,,,,N,Y,40.4304461,-79.9533485,0.026561,8,3.5,4.5,23.0,8.5
15213,339 Oakland Ave,"Oakland, Pittsburgh, PA",3000,5,2,2630.0,N,N,40.4394666,-79.9540097,0.026561,70,3.65,3.5,15.0,5.5
15213,3327 Niagara St,"Oakland, Pittsburgh, PA",995,2,1,,Y,N,40.43562259999999,-79.9596088,0.026561,33,3.621212121212121,4.5,24.5,9.0
15213,3314 Dawson St,"Oakland, Pittsburgh, PA",1395,4,1,,N,N,40.4331848,-79.9532329,0.026561,29,3.6724137931034484,3.0,21.5,6.5
15213,3213 Ward St #A,"Oakland, Pittsburgh, PA",1200,2,1,,Y,N,40.4311795,-79.95549919999998,0.026561,6,3.25,5.0,26.0,9.0
15213,371 S Bouquet St,"Oakland, Pittsburgh, PA",1500,3,1,,N,N,40.4397116,-79.95206929999998,0.026561,33,3.893939393939394,3.0,14.0,5.0
15213,273 Robinson St,"West Oakland, Pittsburgh, PA",1495,3,1,,N,N,40.4424252,-79.96589200000001,0.026561,1,2.5,7.5,25.0,8.5
15213,331 Mckee Place,"Oakland, Pittsburgh, PA",1250 - 1800,2-3,1,,N,N,40.437969,-79.9564692,0.026561,144,3.5034722222222223,5.5,20.0,6.5
15213,229 N Dithridge St #3,"North Oakland, Pittsburgh, PA",1995,3,1,850.0,N,Y,40.4497328,-79.952561,0.026561,57,3.4210526315789473,6.0,12.0,6.0
15213,3319 Ward St,"Oakland, Pittsburgh, PA",1950,3,1,2203.0,N,N,40.4336775,-79.95505240000001,0.026561,32,3.609375,5.0,23.0,8.0
15213,344 Melwood Ave #1,"North Oakland, Pittsburgh, PA",1800,4,1,,Y,N,40.453569099999996,-79.9513808,0.026561,60,3.4833333333333334,6.0,17.0,6.5
15213,322 McKee Pl #1,"Oakland, Pittsburgh, PA",900,1,1,,Y,N,40.4371443,-79.95684440000001,0.026561,139,3.4964028776978417,5.0,21.5,6.5
15213,4628 Bayard St #B2,"North Oakland, Pittsburgh, PA",970,1,1,605.0,N,N,40.4499124,-79.94943570000001,0.026561,81,3.2962962962962963,4.5,12.0,4.5
15213,513 N Neville St #A4,"Shadyside, Pittsburgh, PA",975,1,1,,N,N,40.4500518,-79.94810249999998,0.026561,62,3.338709677419355,4.0,12.0,5.0
15213,513 N Neville St #C2,"Shadyside, Pittsburgh, PA",975,1,1,,N,N,40.4500518,-79.94810249999998,0.026561,62,3.338709677419355,4.0,12.0,5.0
15213,704 Enfield St,"Bloomfield, Pittsburgh, PA",1500,3,2,,Y,N,40.4560471,-79.9506413,0.026561,49,3.377551020408163,8.0,24.5,10.0
