,Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng
211,15217,2325-2327 Eldridge St #6,"Squirrel Hill South, Pittsburgh, PA",1045,1,1,447.0,Y,N,40.4327086,-79.9248669
212,15217,3994 Beechwood Blvd,"Greenfield, Pittsburgh, PA",1300,2,1,1000.0,Y,N,40.4275951,-79.9366016
213,15217,6330 Alderson St,"Squirrel Hill South, Pittsburgh, PA",1595,2,1.5,,Y,N,40.4279074,-79.92108089999999
214,15217,5623 Melvin St,"Squirrel Hill South, Pittsburgh, PA",1125,3,1,1000.0,N,N,40.43045679999999,-79.9265698
215,15217,780 Hazelwood Ave,"Greenfield, Pittsburgh, PA",925,3,1,,Y,N,40.419639,-79.92993919999999
216,15217,5954 Phillips Ave,"Squirrel Hill South, Pittsburgh, PA",1500,4,1,1100.0,Y,N,40.43206989999999,-79.91846029999999
218,15217,1400 Severn St #2,"Squirrel Hill North, Pittsburgh, PA",1075,2,1,750.0,N,N,40.4442633,-79.9167241
219,15217,3518 Beechwood Blvd #2,"Greenfield, Pittsburgh, PA",1350,3,1,1200.0,Y,N,40.423312,-79.9271696
220,15217,4016 Murray Ave,"Greenfield, Pittsburgh, PA",995,3,1,1484.0,N,N,40.425786,-79.928145
221,15217,5860 Forward Ave #5,"Squirrel Hill South, Pittsburgh, PA",1050,2,1,1100.0,N,N,40.4291285,-79.92156580000001
222,15217,2357 Tilbury Ave,"Squirrel Hill South, Pittsburgh, PA",1249,3,1,,N,N,40.429413,-79.91784439999999
223,15217,2421 Beechwood Blvd #2421A,"Squirrel Hill South, Pittsburgh, PA",1300,3,1,800.0,N,N,40.4319188,-79.9147445
224,15217,90 Lilac St,"Greenfield, Pittsburgh, PA",950,3,1,,Y,N,40.423265,-79.9289044
227,15217,906 Greenfield Ave #2,"Greenfield, Pittsburgh, PA",895,4,1.5,650.0,N,N,40.4239198,-79.9332076
228,15217,6535 Dalzell Pl #3,"Squirrel Hill North, Pittsburgh, PA",800,,,,N,Y,40.441878,-79.9155546
229,15217,4106 Saline St,"Greenfield, Pittsburgh, PA",1500,4,1.5,,N,N,40.4244172,-79.92626
231,15217,2552 Beechwood Blvd,"Squirrel Hill South, Pittsburgh, PA",1450,3,1,1400.0,N,N,40.4287944,-79.9161819
232,15217,2608 Shady Ave,"Squirrel Hill South, Pittsburgh, PA",1425,3,1,,N,N,40.4289596,-79.9216816
233,15217,764 Hazelwood Ave #2,"Greenfield, Pittsburgh, PA",1295,3,2,,N,N,40.4196613,-79.930453
234,15217,5858 Morrowfield Ave,"Squirrel Hill South, Pittsburgh, PA",995,2,1,1000.0,N,N,40.42715219999999,-79.92329529999999
235,15217,1303 Denniston St,"Point Breeze, Pittsburgh, PA",3000,6,2,3324.0,Y,N,40.4457284,-79.9194012
236,15217,5860 Forward Ave #1A,"Squirrel Hill South, Pittsburgh, PA",800,1,1,,N,N,40.4291285,-79.92156580000001
237,15217,6325 Monitor St #2,"Squirrel Hill South, Pittsburgh, PA",1100,2,1,,N,N,40.425567,-79.9227463
238,15217,6325 Monitor St #1,"Squirrel Hill South, Pittsburgh, PA",1100,2,1,,N,N,40.425567,-79.9227463
239,15217,5854 Morrowfield Ave,"Squirrel Hill South, Pittsburgh, PA",995,2,1,1500.0,N,N,40.427166,-79.923288
240,15217,5856 Alderson St #245,"Squirrel Hill South, Pittsburgh, PA",1150,2,1,,N,N,40.428138,-79.92287379999999
241,15217,2324 Sherbrook St,"Squirrel Hill South, Squirrel Hill, PA",2300,4,3.5,,Y,N,40.4308239,-79.9216921
243,15217,5854 Forbes Ave,"Squirrel Hill South, Pittsburgh, PA",1225,2,1,1000.0,Y,N,40.4379147,-79.92082719999999
244,15217,1430 Severn St,"Squirrel Hill North, Pittsburgh, PA",1250,2,1,,N,N,40.4435461,-79.916581
245,15217,2334 Tilbury Ave,"Squirrel Hill South, Pittsburgh, PA",2250,4,1.5,,N,N,40.4298408,-79.9182062
246,15217,2332 Sherbrook St,"Squirrel Hill South, Pittsburgh, PA",1325,3,2,1332.0,N,N,40.4305604,-79.9217207
