Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished
15213,331 Mckee Place,"Oakland, Pittsburgh, PA",1250 - 1800,2-3,1,,N,N
15213,229 N Dithridge St #3,"North Oakland, Pittsburgh, PA",1995,3,1,850 ,N,Y
15213,3319 Ward St,"Oakland, Pittsburgh, PA",1950,3,1,2203 ,N,N
15213,344 Melwood Ave #1,"North Oakland, Pittsburgh, PA",1800,4,1,,Y,N
15213,322 McKee Pl #1,"Oakland, Pittsburgh, PA",900,1,1,,Y,N
15213,Address Not Disclosed,"Bloomfield, Pittsburgh, PA",935,1,1,,N,Y
15213,4628 Bayard St #B2,"North Oakland, Pittsburgh, PA",970,1,1,605 ,N,N
15213,513 N Neville St #A4,"Shadyside, Pittsburgh, PA",975,1,1,,N,N
15213,513 N Neville St #C2,"Shadyside, Pittsburgh, PA",975,1,1,,N,N
15213,704 Enfield St,"Bloomfield, Pittsburgh, PA",1500,3,2,,Y,N
15213,328 N Craig St #B,"North Oakland, Pittsburgh, PA",900,1,1,,N,N
15213,352 Semple St,"Oakland, Pittsburgh, PA",2300,4,2,1492 ,N,N
15213,3432 Ward St,"Oakland, Oakland, PA",1500,3,2,1952 ,N,N
15213,2514 Allequippa St,"West Oakland, Pittsburgh, PA",2500,5,2.5,2225 ,N,N
15213,311 Morewood Ave #6,"Shadyside, Pittsburgh, PA",1995,3,1,1300 ,N,N
15213,416 Semple St,"Oakland, Pittsburgh, PA",2200,4,2,,N,N
15213,Address Not Disclosed,"West Oakland, Pittsburgh, PA",1900,3,1,1120 ,N,N
15213,Craig House,"North Oakland, Pittsburgh, PA",1349,2,1,,N,N
15213,21 Mackey St,"Oakland, Oakland, PA",1200,3,2,,N,N
15213,3418 Ward St #3,"Oakland, Pittsburgh, PA",750,1,1,600 ,N,N
15213,3621 Childs St,"Oakland, Pittsburgh, PA",1550,3,1,1400 ,N,N
15213,344 Melwood Ave #2,"North Oakland, Pittsburgh, PA",2000,4,2,,Y,N
15213,6 Enfield St #TWO,"Bloomfield, Pittsburgh, PA",2000,4,2,,Y,N
15213,3211 Ward St #A,"Oakland, Pittsburgh, PA",1200,2,1,,Y,N
15213,3715 Parkview Ave,"Oakland, Pittsburgh, PA",3450,6,3,2444 ,N,N
15213,221 Atwood St #A,"Oakland, Pittsburgh, PA",1500,2,1,800 ,N,N
15213,221 Atwood St #L,"Oakland, Pittsburgh, PA",1500,2,1,800 ,N,N
15213,121 Chesterfield Rd,"West Oakland, Pittsburgh, PA",1900,3,1,,N,N
15213,205 Robinson St #8,"West Oakland, Pittsburgh, PA",975,1,1,,Y,N
15213,3611 Boulevard Of The Allies,"Oakland, Pittsburgh, PA",1700,3,1.5,1400 ,N,N
15213,338 Oakland Ave,"Oakland, Pittsburgh, PA",1380,2,1,,N,N
15213,3301 Juliet St #2,"Oakland, Pittsburgh, PA",1800,3,1,,N,N
15213,4917 Centre Ave #101,"Bloomfield, Pittsburgh, PA",1499,2,1.5,1100 ,N,N
15213,3266 Niagara Sq,"Oakland, Oakland, PA",1395,2,1,,N,N
15213,376 Meyran Ave #2,"Oakland, Pittsburgh, PA",1600,3,1,20 ,N,N
15213,Address Not Disclosed,"Shadyside, Pittsburgh, PA",1475,2,2,975 ,N,N
15213,3401 Forbes Ave #108,"Oakland, Pittsburgh, PA",1450,2,1,,N,N
15213,3261 Parkview Ave,"Oakland, Pittsburgh, PA",1590,3,2,1824 ,N,N
15213,"3 bed, $1,875","Oakland, Pittsburgh, PA",1875,3,1,,Y,N
15213,3297 Kennett Sq,"Oakland, Pittsburgh, PA",1100,1,1,561 ,Y,N
15213,332 Atwood St,"Oakland, Pittsburgh, PA",2500,6,2,,N,N
15213,363 Semple St,"Oakland, Pittsburgh, PA",2500,5,2,1358 ,N,N
15213,Sussex Apartments,"Oakland, Pittsburgh, PA",780,Studio+,1,,Y,N
15213,3624 Bates St #1,"Oakland, Pittsburgh, PA",1999,3,2,,N,N
15213,417 Semple St #2,"Oakland, Pittsburgh, PA",3250,5,2,,N,N
15213,3624 Bates St #2,"Oakland, Pittsburgh, PA",1199,1,1,,N,N
15213,320 Ophelia St,"Oakland, Pittsburgh, PA",2100,4,3,,N,N
15213,336 Joncaire St,"Oakland, Pittsburgh, PA",2000,4,2,,N,N
15213,3410 Allequippa St,"West Oakland, Pittsburgh, PA",2200,3,1.5,930 ,N,N
15213,373 Semple St,"Oakland, Pittsburgh, PA",3700,6,2,,N,N
15213,263 Robinson St,"West Oakland, Pittsburgh, PA",1595,3,2,2250 ,N,N
15213,3202 Niagara St,"Oakland, Pittsburgh, PA",1600,3,2,,N,N
15213,352 N Craig St #4,"North Oakland, Pittsburgh, PA",1295,3,3,,N,N
15213,King Edward Annex,"North Oakland, Pittsburgh, PA",1100,1,1,,Y,N
15213,18 Wellsford St #1-2,"Oakland, Pittsburgh, PA",3300,6,2,,N,N
